RESPOND_ID,EXAMIN_YM,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,PRCHS_MTH_NM,BOOK_DISC_DVD_PRCHS_AT,PBLPRFR_DSPY_EXPRN_PRCHS_AT,GAME_PRCHS_AT,MUSIC_STRMNG_DWLD_VCH_PRCHS_AT,MVP_STRMNG_DWLD_VCH_PRCHS_AT,CLTUR_DGTL_CNTNTS_ETC_PRCHS_AT
1662,202303,M,30대,강원도,500이상700만원 미만,온라인,N,N,N,N,N,N
41307,202303,M,30대,부산광역시,300만원 미만,오프라인,N,N,N,N,N,N
113442,202303,M,30대,부산광역시,700만원 이상,온라인,N,Y,N,Y,Y,N
125581,202303,M,30대,경상북도,무응답,오프라인,Y,Y,N,N,N,N
126337,202303,M,30대,강원도,300이상500만원 미만,온라인,N,N,N,N,N,N
126512,202303,M,30대,전라남도,500이상700만원 미만,온라인,N,N,N,N,N,N
157283,202303,M,30대,부산광역시,무응답,오프라인,N,N,N,N,N,N
174345,202303,M,20대,강원도,무응답,온라인,N,N,N,N,N,N
194739,202303,M,20대,대전광역시,300만원 미만,오프라인,N,N,N,N,N,N
198139,202303,M,30대,강원도,700만원 이상,오프라인,N,N,N,N,N,N
198916,202303,M,50대,전라북도,500이상700만원 미만,온라인,N,N,N,N,N,N
203606,202303,M,30대,경기도,300만원 미만,온라인,Y,Y,Y,Y,Y,N
205148,202303,M,30대,부산광역시,300이상500만원 미만,온라인,N,N,N,N,N,N
214582,202303,F,20대,경기도,300만원 미만,오프라인,N,N,N,N,N,N
216418,202303,M,20대,강원도,300이상500만원 미만,오프라인,N,N,N,N,N,N
216758,202303,M,20대,강원도,300만원 미만,오프라인,N,N,N,N,N,N
220015,202303,M,20대,강원도,300만원 미만,오프라인,N,N,N,N,N,N
220544,202303,M,20대,경기도,500이상700만원 미만,온라인,N,N,N,N,N,N
221611,202303,M,20대,강원도,300만원 미만,오프라인,N,N,N,N,N,N
222117,202303,M,20대,부산광역시,700만원 이상,오프라인,N,N,N,N,N,N
226385,202303,M,20대,대구광역시,무응답,온라인,N,N,N,N,N,N
231346,202303,M,30대,강원도,300이상500만원 미만,온라인,N,N,N,N,N,N
236099,202303,M,20대,강원도,500이상700만원 미만,오프라인,N,N,N,N,N,N
238696,202303,M,20대,강원도,300이상500만원 미만,온라인,N,N,N,N,N,N
259116,202303,M,30대,강원도,700만원 이상,온라인,N,N,N,N,N,N
266327,202303,F,20대,강원도,700만원 이상,오프라인,N,N,N,N,N,N
266644,202303,M,20대,강원도,300만원 미만,온라인,N,N,N,N,N,N
269169,202303,M,20대,부산광역시,무응답,온라인,N,N,N,N,N,N
272948,202303,M,20대,부산광역시,무응답,오프라인,N,N,N,N,N,N
305263,202303,M,30대,광주광역시,700만원 이상,온라인,N,N,N,N,N,N
305374,202303,M,20대,강원도,무응답,오프라인,N,N,N,N,N,N
308897,202303,M,30대,강원도,500이상700만원 미만,온라인,Y,N,Y,Y,Y,N
315633,202303,M,20대,강원도,300만원 미만,온라인,N,N,N,N,N,N
315678,202303,F,20대,제주특별자치도,300이상500만원 미만,온라인,N,N,N,N,N,Y
321897,202303,F,20대,서울특별시,300이상500만원 미만,온라인,N,Y,N,N,N,N
323277,202303,F,20대,강원도,700만원 이상,온라인,N,N,Y,N,N,N
323790,202303,M,20대,강원도,무응답,오프라인,N,N,N,N,N,N
323849,202303,F,20대,강원도,무응답,온라인,N,Y,Y,Y,N,N
332635,202303,M,30대,부산광역시,300이상500만원 미만,온라인,N,N,N,N,N,N
332950,202303,M,30대,강원도,500이상700만원 미만,온라인,N,N,N,N,N,N
333277,202303,M,20대,서울특별시,무응답,오프라인,N,N,N,N,N,N
333299,202303,M,20대,대구광역시,300이상500만원 미만,오프라인,N,N,N,N,N,N
337585,202303,M,20대,제주특별자치도,300만원 미만,오프라인,N,N,N,N,N,N
337679,202303,M,30대,부산광역시,700만원 이상,온라인,N,N,N,N,N,N
342836,202303,M,30대,대전광역시,무응답,오프라인,Y,N,Y,N,N,N
347490,202303,M,30대,강원도,무응답,온라인,N,N,N,N,N,N
347729,202303,M,20대,강원도,무응답,온라인,N,N,Y,Y,N,N
347778,202303,M,20대,강원도,무응답,온라인,N,N,N,N,N,N
