RESPOND_ID,EXAMIN_YM,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,PRCHS_MTH_NM,BOOK_DISC_DVD_PRCHS_AT,PBLPRFR_DSPY_EXPRN_PRCHS_AT,GAME_PRCHS_AT,MUSIC_STRMNG_DWLD_VCH_PRCHS_AT,MVP_STRMNG_DWLD_VCH_PRCHS_AT,CLTUR_DGTL_CNTNTS_ETC_PRCHS_AT
41927,202301,M,20대,강원도,무응답,온라인,N,N,N,N,N,N
169292,202301,M,20대,부산광역시,무응답,오프라인,N,N,N,N,N,N
194739,202301,M,20대,대전광역시,300만원 미만,오프라인,N,N,N,N,N,N
217906,202301,M,20대,부산광역시,700만원 이상,온라인,N,N,N,N,N,N
218941,202301,M,20대,강원도,700만원 이상,오프라인,N,N,N,N,N,N
228806,202301,M,20대,충청남도,무응답,온라인,N,N,N,N,N,N
239679,202301,M,20대,경상북도,700만원 이상,온라인,N,N,N,N,N,N
269005,202301,M,20대,경기도,500이상700만원 미만,오프라인,N,N,N,N,N,N
273493,202301,M,20대,강원도,700만원 이상,오프라인,N,N,N,N,N,N
275115,202301,M,20대,부산광역시,700만원 이상,오프라인,N,N,N,N,N,N
278271,202301,M,20대,경상북도,무응답,오프라인,N,N,N,N,N,N
283061,202301,M,20대,강원도,무응답,온라인,N,N,N,N,N,N
289713,202301,M,20대,대구광역시,무응답,오프라인,N,N,N,N,N,N
305604,202301,M,20대,광주광역시,300만원 미만,온라인,N,N,N,N,N,N
305894,202301,M,20대,경상남도,무응답,오프라인,N,N,N,N,N,N
323812,202301,M,20대,경상북도,무응답,온라인,N,N,N,N,N,N
335138,202301,M,20대,부산광역시,700만원 이상,오프라인,Y,Y,Y,N,N,N
335203,202301,M,20대,경기도,500이상700만원 미만,오프라인,N,N,N,N,N,N
335415,202301,M,20대,부산광역시,무응답,온라인,N,N,N,N,N,N
337589,202301,M,20대,강원도,300이상500만원 미만,온라인,N,N,N,N,N,N
340985,202301,M,20대,부산광역시,500이상700만원 미만,오프라인,N,Y,Y,N,N,N
347604,202301,M,20대,경기도,500이상700만원 미만,온라인,N,N,N,N,N,N
347729,202301,M,20대,강원도,무응답,오프라인,N,N,N,N,N,N
348152,202301,M,20대,경기도,300만원 미만,온라인,N,N,N,N,N,N
348489,202301,M,20대,대전광역시,무응답,온라인,Y,N,Y,N,N,Y
349700,202301,M,20대,전라북도,700만원 이상,온라인,N,N,N,N,N,N
350764,202301,M,20대,부산광역시,300이상500만원 미만,온라인,N,N,N,N,N,N
359707,202301,M,20대,경상북도,무응답,오프라인,Y,N,N,N,N,N
365469,202301,M,20대,대전광역시,무응답,온라인,N,N,N,N,N,N
365906,202301,M,20대,서울특별시,무응답,온라인,N,N,N,N,N,N
365972,202301,M,20대,전라남도,무응답,오프라인,N,N,N,N,N,N
365996,202301,M,20대,제주특별자치도,700만원 이상,오프라인,N,N,N,N,N,N
366631,202301,M,20대,세종특별자치시,700만원 이상,오프라인,N,N,N,N,N,N
369223,202301,M,20대,강원도,무응답,온라인,N,Y,N,N,N,N
369383,202301,M,20대,세종특별자치시,무응답,오프라인,N,N,N,N,N,N
369470,202301,M,20대,울산광역시,500이상700만원 미만,온라인,N,Y,N,Y,Y,Y
369736,202301,M,20대,경기도,무응답,오프라인,N,N,N,N,N,N
372977,202301,M,50대,부산광역시,500이상700만원 미만,온라인,N,N,N,N,N,N
379767,202301,M,20대,강원도,700만원 이상,오프라인,N,N,N,N,N,N
379871,202301,M,20대,전라북도,300만원 미만,오프라인,N,N,N,N,N,N
380437,202301,M,20대,강원도,무응답,오프라인,N,N,N,N,N,N
380583,202301,M,20대,충청남도,300이상500만원 미만,온라인,N,N,N,Y,Y,N
381415,202301,M,20대,충청남도,700만원 이상,온라인,N,N,N,N,N,N
381473,202301,M,20대,강원도,300만원 미만,오프라인,N,N,N,N,N,N
381767,202301,M,20대,부산광역시,무응답,온라인,N,N,Y,N,Y,N
382130,202301,M,20대,강원도,무응답,온라인,N,N,N,N,N,N
382152,202301,M,20대,세종특별자치시,300만원 미만,온라인,N,N,N,N,N,N
391206,202301,M,20대,충청북도,700만원 이상,오프라인,N,N,N,N,N,N
392978,202301,M,20대,부산광역시,700만원 이상,온라인,N,N,N,N,N,N
393015,202301,M,20대,부산광역시,300만원 미만,온라인,N,Y,N,N,N,N
393430,202301,M,20대,충청남도,무응답,오프라인,N,N,N,N,N,N
393668,202301,M,20대,부산광역시,300만원 미만,오프라인,N,Y,N,N,N,N
397930,202301,M,20대,인천광역시,무응답,오프라인,N,N,N,N,N,N
399682,202301,M,20대,강원도,700만원 이상,오프라인,N,N,N,N,N,N
400015,202301,M,20대,강원도,700만원 이상,온라인,N,N,Y,N,N,N
400587,202301,M,20대,대구광역시,무응답,오프라인,N,N,N,N,N,N
402134,202301,M,20대,강원도,무응답,온라인,N,N,N,N,N,N
402445,202301,M,20대,충청남도,무응답,온라인,N,N,N,N,N,N
402575,202301,M,20대,부산광역시,500이상700만원 미만,온라인,N,Y,N,N,N,Y
402738,202301,M,20대,경상북도,무응답,오프라인,N,N,N,N,N,N
407303,202301,M,20대,울산광역시,300이상500만원 미만,오프라인,N,N,N,N,N,N
408809,202301,M,20대,부산광역시,300만원 미만,온라인,N,N,N,N,N,N
409117,202301,M,20대,강원도,무응답,오프라인,N,N,N,N,N,N
409527,202301,M,20대,강원도,무응답,오프라인,N,N,N,N,N,N
411040,202301,M,20대,부산광역시,무응답,온라인,N,N,Y,Y,Y,N
411048,202301,M,20대,부산광역시,무응답,오프라인,N,N,N,N,N,N
411178,202301,M,20대,부산광역시,무응답,오프라인,N,N,N,N,N,N
411545,202301,M,20대,강원도,300이상500만원 미만,오프라인,N,N,N,N,N,N
411755,202301,M,20대,경상북도,300만원 미만,온라인,N,N,Y,Y,N,N
412377,202301,M,20대,세종특별자치시,300이상500만원 미만,온라인,Y,N,Y,N,Y,N
413052,202301,M,20대,경기도,300만원 미만,온라인,Y,N,N,N,N,Y
413078,202301,M,20대,강원도,500이상700만원 미만,오프라인,N,N,N,N,N,N
416206,202301,M,20대,부산광역시,300이상500만원 미만,온라인,N,N,N,N,N,N
417765,202301,F,20대,서울특별시,300만원 미만,온라인,N,N,N,N,N,N
418862,202301,M,20대,부산광역시,300만원 미만,온라인,N,N,N,N,N,N
419911,202301,M,20대,경기도,무응답,온라인,Y,N,N,Y,Y,N
420953,202301,M,20대,강원도,300만원 미만,온라인,N,N,N,N,N,N
421200,202301,M,20대,강원도,무응답,온라인,N,N,N,N,N,N
421263,202301,M,20대,강원도,300만원 미만,온라인,N,N,N,N,N,N
421280,202301,M,20대,울산광역시,500이상700만원 미만,오프라인,N,N,N,N,N,N
421494,202301,M,20대,경상북도,700만원 이상,오프라인,N,N,N,N,N,N
421508,202301,M,20대,세종특별자치시,300만원 미만,온라인,N,N,N,N,N,N
422095,202301,M,20대,강원도,300이상500만원 미만,온라인,N,N,N,N,N,N
422097,202301,M,20대,강원도,300이상500만원 미만,온라인,Y,N,N,Y,N,Y
422112,202301,M,20대,부산광역시,무응답,오프라인,N,N,Y,N,N,N
422188,202301,M,20대,대전광역시,300만원 미만,오프라인,N,N,N,N,N,N
422226,202301,M,20대,경기도,300이상500만원 미만,온라인,N,N,N,N,N,N
422456,202301,M,20대,부산광역시,700만원 이상,오프라인,N,N,N,N,N,N
422536,202301,M,20대,강원도,무응답,오프라인,N,N,N,N,N,N
422563,202301,M,20대,부산광역시,700만원 이상,오프라인,N,N,N,N,N,N
422582,202301,M,20대,강원도,300이상500만원 미만,오프라인,N,N,N,N,N,N
422770,202301,M,20대,부산광역시,700만원 이상,오프라인,N,N,N,N,N,N
422908,202301,M,20대,광주광역시,700만원 이상,온라인,N,N,N,N,N,N
423696,202301,M,20대,경상북도,300만원 미만,오프라인,N,N,N,N,N,N
423951,202301,M,20대,경기도,500이상700만원 미만,오프라인,N,N,N,N,N,N
423953,202301,M,20대,충청남도,300이상500만원 미만,온라인,N,N,N,N,N,N
424037,202301,M,20대,경기도,700만원 이상,온라인,N,N,N,N,N,N
424161,202301,M,20대,인천광역시,300이상500만원 미만,오프라인,N,N,N,N,N,N
424269,202301,M,20대,전라북도,무응답,오프라인,N,N,N,N,N,N
424297,202301,M,20대,경기도,300만원 미만,온라인,N,N,N,N,N,N
424505,202301,M,20대,세종특별자치시,300만원 미만,온라인,N,N,N,N,N,N
424583,202301,M,20대,광주광역시,무응답,오프라인,N,N,N,N,N,N
424679,202301,M,50대,부산광역시,300만원 미만,온라인,N,N,N,N,N,N
